trade_date,article_count,avg_sentiment,max_sentiment,min_sentiment,sentiment_std,bullish_ratio,push_net_avg
2025-03-10,7,-0.2214,0.85,-0.85,0.5139,0.1429,10.5714
2025-03-11,2,0.0,0.0,0.0,0.0,0.0,176.0
2025-03-12,1,-0.3,-0.3,-0.3,0.0,0.0,50.0
2025-03-13,2,0.0,0.8,-0.8,1.1314,0.5,13.0
2025-03-17,1,0.4,0.4,0.4,0.0,1.0,67.0
2025-03-25,1,0.6,0.6,0.6,0.0,1.0,5.0
2025-03-28,1,-0.9,-0.9,-0.9,0.0,0.0,1.0
2025-03-31,11,0.1455,0.5,-0.9,0.5336,0.7273,42.3636
2025-04-01,1,-0.9,-0.9,-0.9,0.0,0.0,5.0
2025-04-07,5,0.26,0.5,0.0,0.2408,0.6,28.2
2025-04-08,5,0.24,0.5,-0.1,0.2793,0.6,16.8
2025-04-09,3,-0.1667,0.3,-0.4,0.4041,0.3333,40.0
2025-04-10,1,-0.7,-0.7,-0.7,0.0,0.0,1.0
2025-04-11,2,0.0,0.0,0.0,0.0,0.0,99.5
2025-04-18,1,0.0,0.0,0.0,0.0,0.0,309.0
2025-04-21,1,0.5,0.5,0.5,0.0,1.0,75.0
2025-04-24,1,0.6,0.6,0.6,0.0,1.0,69.0
2025-05-12,1,0.0,0.0,0.0,0.0,0.0,235.0
2025-05-14,2,0.05,0.5,-0.4,0.6364,0.5,54.0
2025-05-15,1,0.5,0.5,0.5,0.0,1.0,58.0
2025-06-06,1,0.9,0.9,0.9,0.0,1.0,-3.0
2025-06-11,2,0.65,0.9,0.4,0.3536,1.0,109.5
2025-06-12,1,0.8,0.8,0.8,0.0,1.0,1.0
2025-06-16,1,0.5,0.5,0.5,0.0,1.0,65.0
2025-06-23,1,0.9,0.9,0.9,0.0,1.0,-3.0
2025-06-26,1,0.9,0.9,0.9,0.0,1.0,13.0
2025-06-30,1,0.9,0.9,0.9,0.0,1.0,-7.0
2025-07-09,1,0.5,0.5,0.5,0.0,1.0,20.0
2025-07-11,3,0.0,0.0,0.0,0.0,0.0,82.6667
2025-07-16,3,0.4833,0.9,0.1,0.401,0.6667,9.3333
2025-07-17,1,-0.4,-0.4,-0.4,0.0,0.0,99.0
2025-07-18,3,0.15,0.95,-0.9,0.95,0.6667,94.3333
2025-07-21,1,0.55,0.55,0.55,0.0,1.0,30.0
2025-08-06,1,0.0,0.0,0.0,0.0,0.0,23.0
2025-08-08,3,0.7167,0.85,0.45,0.2309,1.0,13.3333
2025-08-11,5,0.66,0.9,-0.15,0.4533,0.8,47.2
2025-08-12,1,0.7,0.7,0.7,0.0,1.0,9.0
2025-08-21,2,0.175,0.85,-0.5,0.9546,0.5,5.0
2025-08-22,1,-0.5,-0.5,-0.5,0.0,0.0,7.0
2025-08-25,1,-0.4,-0.4,-0.4,0.0,0.0,-4.0
2025-08-28,1,-0.4,-0.4,-0.4,0.0,0.0,6.0
2025-09-01,1,-0.4,-0.4,-0.4,0.0,0.0,2.0
2025-09-02,1,-0.4,-0.4,-0.4,0.0,0.0,3.0
2025-09-04,1,-0.4,-0.4,-0.4,0.0,0.0,5.0
2025-09-11,3,0.9,0.9,0.9,0.0,1.0,76.3333
2025-09-23,1,0.75,0.75,0.75,0.0,1.0,39.0
2025-09-24,9,0.0444,0.9,-0.8,0.6317,0.4444,41.7778
2025-09-25,3,0.5,0.8,0.0,0.4359,0.6667,21.3333
2025-09-26,1,0.4,0.4,0.4,0.0,1.0,11.0
2025-09-30,9,0.3389,0.75,-0.85,0.5085,0.7778,37.0
2025-10-01,2,0.225,0.45,0.0,0.3182,0.5,17.5
2025-10-02,2,0.075,0.5,-0.35,0.601,0.5,27.0
2025-10-03,4,0.3,0.6,0.0,0.2449,0.75,23.0
2025-10-07,14,0.1929,0.8,-0.5,0.3668,0.4286,25.7857
2025-10-08,10,0.18,0.95,-0.4,0.5089,0.4,31.3
2025-10-09,1,0.1,0.1,0.1,0.0,0.0,67.0
2025-10-13,9,0.3056,0.95,-0.9,0.5976,0.6667,37.1111
2025-10-14,2,0.775,0.8,0.75,0.0354,1.0,39.5
2025-10-15,5,0.53,0.95,0.35,0.2414,1.0,29.6
2025-10-16,5,0.45,0.9,-0.45,0.5443,0.8,55.0
2025-10-17,11,0.25,0.9,-0.8,0.5074,0.4545,80.7273
2025-10-20,14,0.2857,0.85,-0.55,0.4378,0.6429,36.7143
2025-10-21,1,-0.35,-0.35,-0.35,0.0,0.0,12.0
2025-10-22,2,0.4,0.75,0.05,0.495,0.5,35.0
2025-10-23,3,0.7,0.8,0.55,0.1323,1.0,27.3333
2025-10-27,5,0.42,0.9,-0.7,0.6458,0.8,34.6
2025-10-29,1,-0.1,-0.1,-0.1,0.0,0.0,93.0
2025-10-30,1,0.7,0.7,0.7,0.0,1.0,33.0
2025-10-31,2,0.425,0.85,0.0,0.601,0.5,-40.0
2025-11-03,4,-0.175,0.8,-0.8,0.685,0.25,42.75
2025-11-05,6,0.2333,0.6,0.1,0.216,0.3333,30.0
2025-11-06,3,0.8333,0.95,0.7,0.1258,1.0,74.3333
2025-11-10,1,0.5,0.5,0.5,0.0,1.0,35.0
2025-11-11,1,0.9,0.9,0.9,0.0,1.0,180.0
2025-11-12,6,0.1417,0.9,-0.8,0.6328,0.6667,12.5
2025-11-13,1,0.8,0.8,0.8,0.0,1.0,16.0
2025-11-17,1,0.4,0.4,0.4,0.0,1.0,13.0
2025-11-18,1,-0.9,-0.9,-0.9,0.0,0.0,454.0
2025-11-19,4,0.15,0.5,-0.7,0.5686,0.75,35.75
2025-11-20,5,-0.908,-0.8,-0.98,0.0986,0.0,25.0
2025-11-21,1,0.05,0.05,0.05,0.0,0.0,36.0
2025-11-24,6,-0.3583,0.9,-0.95,0.7262,0.1667,36.8333
2025-11-26,10,-0.21,0.8,-0.85,0.5486,0.2,56.8
2025-11-27,5,-0.16,0.35,-0.95,0.4992,0.2,48.2
2025-11-28,4,-0.2125,0.8,-0.9,0.7192,0.25,47.25
2025-12-01,5,0.26,0.7,0.0,0.2881,0.4,21.4
2025-12-02,1,0.0,0.0,0.0,0.0,0.0,22.0
2025-12-03,3,-0.0,0.5,-0.4,0.4583,0.3333,23.0
2025-12-04,1,0.0,0.0,0.0,0.0,0.0,65.0
2025-12-05,5,0.83,0.9,0.75,0.0671,1.0,17.4
2025-12-08,3,0.3833,0.4,0.35,0.0289,1.0,30.3333
2025-12-10,1,0.65,0.65,0.65,0.0,1.0,46.0
2025-12-11,2,0.0,0.0,0.0,0.0,0.0,161.5
2025-12-12,3,0.5667,0.9,0.3,0.3055,1.0,22.6667
2025-12-15,3,0.2333,0.8,-0.5,0.6658,0.6667,67.0
2025-12-16,2,0.5,0.7,0.3,0.2828,1.0,43.0
2025-12-17,1,0.4,0.4,0.4,0.0,1.0,22.0
2025-12-18,1,0.1,0.1,0.1,0.0,0.0,27.0
2025-12-19,2,0.4,0.6,0.2,0.2828,0.5,40.0
2025-12-23,1,0.9,0.9,0.9,0.0,1.0,69.0
2025-12-24,2,0.55,0.8,0.3,0.3536,1.0,35.5
2025-12-26,1,0.7,0.7,0.7,0.0,1.0,37.0
2025-12-29,3,0.3333,0.5,0.1,0.2082,0.6667,26.3333
2025-12-30,1,0.5,0.5,0.5,0.0,1.0,23.0
2025-12-31,2,0.9,0.95,0.85,0.0707,1.0,27.0
2026-01-02,4,0.0875,1.0,-0.7,0.7793,0.5,10.0
2026-01-05,10,0.215,0.95,-0.9,0.6908,0.5,42.4
2026-01-06,11,0.2636,0.9,-0.5,0.504,0.5455,31.3636
2026-01-07,4,-0.15,0.0,-0.3,0.1732,0.0,38.25
2026-01-08,1,0.4,0.4,0.4,0.0,1.0,18.0
2026-01-09,5,0.12,0.6,-0.5,0.5263,0.6,21.8
2026-01-12,3,0.2167,0.9,-0.15,0.5923,0.3333,49.0
2026-01-13,4,-0.45,0.7,-0.9,0.7692,0.25,60.0
2026-01-14,3,-0.0333,0.85,-0.55,0.7687,0.3333,53.0
2026-01-15,3,0.4167,0.65,0.3,0.2021,1.0,23.3333
2026-01-16,13,0.1115,0.8,-0.85,0.4505,0.3077,64.2308
2026-01-19,9,0.7278,0.9,0.5,0.1439,1.0,42.0
2026-01-20,4,0.6,0.8,0.4,0.2309,1.0,32.75
2026-01-21,2,0.925,0.95,0.9,0.0354,1.0,24.5
2026-01-22,3,0.3667,0.5,0.3,0.1155,1.0,23.0
2026-01-23,2,0.825,0.85,0.8,0.0354,1.0,13.5
2026-01-26,2,0.775,0.8,0.75,0.0354,1.0,26.5
2026-01-27,10,0.345,0.65,0.3,0.1117,1.0,82.2
2026-01-28,2,0.5,0.7,0.3,0.2828,1.0,22.0
2026-01-30,1,0.9,0.9,0.9,0.0,1.0,78.0
2026-02-02,2,-0.1,0.5,-0.7,0.8485,0.5,27.0
2026-02-04,4,0.225,0.8,-0.15,0.4628,0.5,3.75
2026-02-05,2,0.7,0.75,0.65,0.0707,1.0,-1.5
2026-02-06,2,0.875,0.9,0.85,0.0354,1.0,91.5
2026-02-10,3,0.1833,0.95,-0.25,0.6658,0.3333,33.3333
2026-02-11,4,0.7625,0.95,0.6,0.1493,1.0,40.0
2026-02-23,6,0.375,0.9,-0.3,0.4612,0.6667,67.1667
2026-02-25,11,0.6773,0.95,0.1,0.2582,0.9091,66.1818
2026-02-26,4,0.375,0.95,-0.25,0.6384,0.5,10.75
2026-03-02,4,0.4125,0.7,0.05,0.281,0.75,45.75
2026-03-04,1,0.85,0.85,0.85,0.0,1.0,28.0
2026-03-05,1,0.65,0.65,0.65,0.0,1.0,42.0
2026-03-10,4,0.4875,0.65,0.25,0.1702,1.0,35.75
2026-03-12,2,0.425,0.85,0.0,0.601,0.5,7.0
2026-03-16,5,-0.35,0.5,-0.8,0.6285,0.2,28.2
2026-03-17,4,-0.2,0.5,-0.8,0.5715,0.25,31.75
2026-03-18,2,0.55,0.8,0.3,0.3536,1.0,64.5
2026-03-19,1,0.95,0.95,0.95,0.0,1.0,-26.0
2026-03-20,1,0.9,0.9,0.9,0.0,1.0,45.0
2026-03-23,7,0.0929,0.85,-0.7,0.6058,0.4286,80.1429
2026-03-24,3,-0.0333,0.5,-0.3,0.4619,0.3333,25.6667
2026-03-25,8,-0.05,0.6,-0.5,0.4132,0.375,51.125
2026-03-26,6,0.05,0.95,-0.75,0.6356,0.5,21.6667
2026-03-30,3,-0.4,-0.35,-0.5,0.0866,0.0,65.3333
